CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
DOMESTIC VIOLENCE,12/20/2020 12:12:00 AM,20-062149,BURGLARY-FORCIBLE ENTRY,13Z,6000 ASPINWALL RD,Oakland,CA,
VANDALISM,11/29/2020 04:20:00 PM,20-920019,VANDALISM,14Y,700 WALKER AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/04/2021 12:30:00 PM,21-000518,BATTERY,21X,2300 E 29TH ST,Oakland,CA,
FELONY ASSAULT,01/30/2021 01:00:00 PM,21-004710,ASSAULT WITH FIREARM ON PERSON,26Y,1100 58TH AV,Oakland,CA,
DISORDERLY CONDUCT,12/20/2020 05:51:00 PM,20-062247,DISORDERLY CONDUCT:TOLUENE,04X,400 15TH ST,Oakland,CA,
NARCOTICS,01/05/2021 07:37:00 PM,21-000741,CARRY CONCEALED WEAPON IN VEHICLE : OCCUPANT,18Y,2100 E 28TH ST,Oakland,CA,
BURG - AUTO,12/24/2020 09:10:00 PM,20-921329,BURGLARY-AUTO,17Y,1000 E 33RD ST,Oakland,CA,
WEAPONS,02/16/2021 07:01:00 PM,21-007590,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,01X,400 ALICE ST,Oakland,CA,
BURG - AUTO,01/26/2021 11:38:00 AM,21-003989,BURGLARY-AUTO,08X,2700 BROADWAY,Oakland,CA,
GRAND THEFT,01/30/2021 09:50:00 PM,21-004840,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,08X,2900 BROADWAY,Oakland,CA,
BURG - AUTO,01/21/2021 04:20:00 PM,21-901038,BURGLARY-AUTO,29X,6400 MOKELUMNE AV,Oakland,CA,
STOLEN VEHICLE,01/09/2021 05:30:00 PM,21-002080,VEHICLE THEFT - AUTO,02Y,1000 PINE ST,Oakland,CA,
MISDEMEANOR ASSAULT,02/12/2021 01:00:00 PM,21-006938,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE,03Y,400 7TH ST,Oakland,CA,
STOLEN VEHICLE,01/09/2021 12:15:00 AM,21-001577,VEHICLE THEFT - AUTO,07X,1200 34TH ST,Oakland,CA,
BURG - AUTO,02/11/2021 04:45:00 PM,21-902013,BURGLARY-AUTO,07X,2400 UNION ST,Oakland,CA,
STOLEN VEHICLE,02/07/2021 08:00:00 PM,21-006128,VEHICLE THEFT - AUTO,25X,4300 TOMPKINS AV,Oakland,CA,
NARCOTICS,12/03/2020 04:19:00 PM,20-059268,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,06X,23RD ST & SAN PABLO AV,Oakland,CA,
GRAND THEFT,02/13/2021 11:00:00 PM,21-007198,GRAND THEFT,08X,500 25TH ST,Oakland,CA,
OTHER,12/03/2020 09:54:00 AM,20-920604,MAIL/ETC THEFT/ETC,22Y,3000 CARLSEN ST,Oakland,CA,
OTHER SEX OFFENSES,09/24/2020 12:00:00 AM,20-053049,SC SEXUAL BATTERY,08X,3000 WEBSTER ST,Oakland,CA,
STOLEN VEHICLE,01/07/2021 09:14:00 AM,21-000983,VEHICLE THEFT - AUTO,06X,900 34TH ST,Oakland,CA,
FORGERY & COUNTERFEITING,02/03/2021 04:09:00 AM,21-902024,MAIL/ETC THEFT/ETC,20X,300 CHANNEL WY,Oakland,CA,
PETTY THEFT,01/05/2021 01:25:00 AM,21-900361,THEFT,22X,4000 WHITTLE AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/07/2021 08:11:00 PM,21-006083,BATTERY,21X,2300 E 17TH ST,Oakland,CA,
FELONY ASSAULT,01/07/2021 08:30:00 PM,21-000918,BATTERY W/SERIOUS BODILY INJURY,30Y,2800 76TH AV,Oakland,CA,
STOLEN VEHICLE,12/01/2020 06:20:00 PM,20-058928,VEHICLE THEFT - AUTO,30X,1400 71ST AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/09/2021 08:30:00 PM,21-006489,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,08X,200 28TH ST,Oakland,CA,
DOMESTIC VIOLENCE,02/02/2021 10:00:00 AM,21-005175,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,2600 PRENTISS PL,Oakland,CA,
VANDALISM,01/07/2021 01:45:00 PM,21-900304,VANDALISM,17X,600 E 19TH ST,Oakland,CA,
WEAPONS,12/21/2020 04:03:00 PM,20-062402,CARRY LOADED HANDGUN: NOT REG OWNER,17X,900 FOOTHILL BLVD,Oakland,CA,
DOMESTIC VIOLENCE,01/20/2021 03:36:00 PM,21-003098,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,35X,2300 98TH AV,Oakland,CA,
DOMESTIC VIOLENCE,12/08/2020 06:24:00 PM,20-060229,MISD-INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP,13Y,200 GRAVATT DR,Oakland,CA,
PETTY THEFT,02/09/2021 05:55:00 PM,21-901905,THEFT,08X,2500 WEBSTER ST,Oakland,CA,
OTHER,01/03/2021 07:30:00 AM,21-900100,MAIL/ETC THEFT/ETC,06X,3600 WEST ST,Oakland,CA,
STOLEN VEHICLE,12/12/2020 06:00:00 PM,20-061005,VEHICLE THEFT - AUTO,23X,3500 INTERNATIONAL BLVD,Oakland,CA,
GRAND THEFT,12/12/2020 08:05:00 AM,20-920654,GRAND THEFT,19X,1100 6TH AV,Oakland,CA,
BURG - AUTO,01/23/2021 03:20:00 PM,21-003566,BURGLARY-AUTO,04X,500 WILLIAM ST,Oakland,CA,
VANDALISM,09/25/2020 07:00:00 AM,20-920179,VANDALISM,19X,1600 E 12TH ST,Oakland,CA,
BURG - AUTO,12/05/2020 02:35:00 PM,20-920874,BURGLARY-AUTO,22X,1800 MELVIN RD,Oakland,CA,
PETTY THEFT,12/18/2020 12:00:00 AM,20-061829,THEFT,16Y,4300 PARK BLVD,Oakland,CA,
STOLEN VEHICLE,01/22/2021 06:00:00 PM,21-003519,VEHICLE THEFT - AUTO,30Y,2600 73RD AV,Oakland,CA,
OTHER,10/13/2020 01:15:00 PM,21-901986,MAIL/ETC THEFT/ETC,03X,200 13TH ST,Oakland,CA,
STOLEN VEHICLE,11/17/2020 06:00:00 PM,20-056747,VEHICLE THEFT - AUTO,35X,8200 GOLF LINKS RD,Oakland,CA,
BURG - AUTO,12/12/2020 06:07:00 AM,20-060825,BURGLARY-AUTO,23X,700 36TH AV,Oakland,CA,
FELONY ASSAULT,12/17/2020 08:23:00 PM,20-061744,EXHIBIT FIREARM,06X,800 27TH ST,Oakland,CA,
