CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
MISDEMEANOR ASSAULT,01/08/2021 06:30:00 AM,21-900302,ASSAULT,77X,MONTECITO AV,Oakland,CA,
PROSTITUTION,12/21/2020 03:45:00 PM,20-062400,LOITER:INTENT:PROSTITUTION,20X,1400 27TH AV,Oakland,CA,
STOLEN VEHICLE,12/25/2020 07:00:00 AM,20-063597,VEHICLE THEFT - AUTO,04X,1400 ALICE ST,Oakland,CA,
MISDEMEANOR ASSAULT,11/24/2020 11:30:00 AM,20-919817,BATTERY,30X,7800 BANCROFT AV,Oakland,CA,
PETTY THEFT,12/10/2020 02:15:00 PM,21-902609,THEFT,04X,500 18TH ST,Oakland,CA,
STOLEN VEHICLE,12/28/2020 05:00:00 PM,21-000084,VEHICLE THEFT - AUTO,20X,1500 28TH AV,Oakland,CA,
NARCOTICS,12/26/2020 06:40:00 PM,20-063122,POSSESS CONTROLLED SUBSTANCE,18X,1500 E 19TH ST,Oakland,CA,
GRAND THEFT,01/20/2021 10:30:00 AM,21-901556,GRAND THEFT,25Y,12900 SKYLINE BLVD,Oakland,CA,
DOMESTIC VIOLENCE,02/19/2021 12:46:00 AM,21-007946,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,1000 25TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/26/2021 11:30:00 AM,21-004046,BATTERY,15X,400 MERRITT AV,Oakland,CA,
BURG - AUTO,01/21/2021 12:30:00 PM,21-901032,BURGLARY-AUTO,22Y,10800 SKYLINE BLVD,Oakland,CA,
BURG - AUTO,12/14/2020 08:00:00 PM,20-920665,BURGLARY-AUTO,01X,100 WEBSTER ST,Oakland,CA,
PETTY THEFT,12/28/2020 12:00:00 PM,20-063812,PETTY THEFT:$50-,16Y,1900 E 38TH ST,Oakland,CA,
VANDALISM,11/25/2020 12:00:00 PM,20-919892,VANDALISM,30Y,6900 FOOTHILL BLVD,Oakland,CA,
VANDALISM,02/21/2021 12:00:00 PM,21-902361,VANDALISM,22Y,3600 MIDVALE AV,Oakland,CA,
STOLEN VEHICLE,11/30/2020 08:09:00 PM,20-058768,VIOLATION OF PROBATION-MISD,30X,7200 BANCROFT AV,Oakland,CA,
GRAND THEFT,12/10/2020 11:00:00 AM,21-900879,MAIL/ETC THEFT/ETC,14Y,400 LAKE PARK AV,Oakland,CA,
RECOVERED O/S STOLEN,12/22/2020 07:15:00 AM,20-062484,VEHICLE THEFT - AUTO,31Y,8300 BALDWIN ST,Oakland,CA,
VANDALISM,01/07/2021 11:00:00 PM,21-900280,VANDALISM,17X,1700 10TH AV,Oakland,CA,
ROBBERY,12/23/2020 07:53:00 AM,20-062639,ROBBERY-FIREARM,21X,00 PEROLY CT,Oakland,CA,
FELONY ASSAULT,12/19/2020 10:30:00 PM,20-062473,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,34X,9400 CHERRY ST,Oakland,CA,
STOLEN VEHICLE,12/12/2020 09:25:00 AM,20-054332,POSSESS NARCOTIC CONTROLLED SUBSTANCE,19X,1200 BLOCK OF 18TH AVE,Oakland,CA,
GRAND THEFT,12/18/2020 09:15:00 AM,21-901215,THEFT,04X,500 21ST ST,Oakland,CA,
STOLEN VEHICLE,11/30/2020 05:16:00 PM,20-058745,VEHICLE THEFT - AUTO,01X,300 OAK ST,Oakland,CA,
STOLEN VEHICLE,12/25/2020 01:30:00 PM,21-002484,SC STOLEN VEHICLE - AUTO,14X,300 WARWICK AV,Oakland,CA,
VANDALISM,11/24/2020 12:30:00 PM,20-057925,VANDALISM,34X,2100 89TH AV,Oakland,CA,
STOLEN VEHICLE,12/12/2020 08:00:00 PM,21-008170,VEHICLE THEFT - AUTO,31Y,9600 MADDUX DR,Oakland,CA,
ROBBERY,12/24/2020 08:00:00 AM,20-063328,ROBBERY-FIREARM,27Y,5900 BROMLEY AV,Oakland,CA,
GRAND THEFT,11/28/2020 02:45:00 PM,20-919976,GRAND THEFT,19X,500 INTERNATIONAL BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,12/27/2020 07:33:00 PM,20-063280,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,1400 79TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/17/2020 02:30:00 PM,20-920832,ASSAULT,02Y,1400 7TH ST,Oakland,CA,
STOLEN VEHICLE,11/18/2020 09:00:00 PM,20-057069,VEHICLE THEFT - AUTO,32X,900 BLENHEIM ST,Oakland,CA,
VANDALISM,02/06/2021 12:01:00 AM,21-901781,VANDALISM,16Y,3700 PARK BOULEVARD WY,Oakland,CA,
DISORDERLY CONDUCT,02/07/2021 02:00:00 PM,21-006040,DISTURB THE PEACE,35X,8900 LAWLOR ST,Oakland,CA,
BURG - AUTO,01/09/2021 04:10:00 AM,21-900339,BURGLARY-AUTO,16Y,3300 ADELL CT,Oakland,CA,
STOLEN VEHICLE,12/21/2020 03:00:00 AM,20-062346,VEHICLE THEFT - AUTO,31Y,600 85TH AV,Oakland,CA,
STOLEN VEHICLE,01/10/2021 12:00:00 PM,21-002666,VEHICLE THEFT - AUTO,04X,1500 MADISON ST,Oakland,CA,
PETTY THEFT,12/01/2020 12:53:00 AM,20-920217,MAIL/ETC THEFT/ETC,14Y,400 CRESCENT ST,Oakland,CA,
PETTY THEFT,01/09/2021 12:00:00 AM,21-001873,THEFT,12X,300 41ST ST,Oakland,CA,
VANDALISM,12/12/2020 02:20:00 AM,20-920615,VANDALISM,04X,1400 ALICE ST,Oakland,CA,
DOMESTIC VIOLENCE,02/16/2021 01:00:00 AM,21-007466,INFLICT CRPL INJ SP/COHAB,25Y,8000 GREENRIDGE DR,Oakland,CA,
FELONY ASSAULT,02/06/2021 12:42:00 AM,21-005816,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,29X,6300 CAMDEN ST,Oakland,CA,
FORCIBLE RAPE,12/15/2020 07:54:00 PM,20-061418,RAPE:VICTIM INCAPABLE OF GIVING CONSENT,26Y,1200 65TH AV,Oakland,CA,
RECOVERED O/S STOLEN,02/07/2021 12:02:00 PM,21-006020,VEHICLE THEFT - AUTO,07X,900 30TH ST,Oakland,CA,
DOMESTIC VIOLENCE,02/12/2021 06:08:00 AM,21-006860,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,2500 HAVENSCOURT BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,01/19/2021 12:19:00 AM,21-900921,ASSAULT,09X,3700 HOWE ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/24/2020 02:48:00 AM,20-062785,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26X,1000 45TH AV,Oakland,CA,
ROBBERY,01/25/2021 01:30:00 PM,21-003886,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,5700 BANCROFT AV,Oakland,CA,
MISDEMEANOR ASSAULT,11/30/2020 08:00:00 PM,20-058775,BATTERY,29X,5800 FOOTHILL BLVD,Oakland,CA,
WEAPONS,02/05/2021 04:17:00 PM,21-005769,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,31Y,8400 SAN LEANDRO ST,Oakland,CA,
FELONY ASSAULT,01/22/2021 11:30:00 PM,21-003596,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,17Y,1300 E 34TH ST,Oakland,CA,
VANDALISM,12/11/2020 06:50:00 AM,20-920562,VANDALISM,17Y,3200 PARK BLVD,Oakland,CA,
VANDALISM,02/12/2021 03:00:00 AM,21-902099,VANDALISM,24Y,3300 OCTAVIA ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/23/2020 09:30:00 PM,20-062752,THEFT,14Y,3700 GRAND AV,Oakland,CA,
FELONY ASSAULT,02/16/2021 12:20:00 PM,21-007527,ASSAULT WITH FIREARM ON PERSON,02X,600 MARKET ST,Oakland,CA,
BURG - AUTO,12/12/2020 04:35:00 PM,20-920609,BURGLARY-AUTO,26Y,900 66TH AV,Oakland,CA,
FORGERY & COUNTERFEITING,11/17/2020 12:00:00 PM,20-920993,THEFT BY USE OF ACCESS CARD,28X,5400 EL CAMILE AV,Oakland,CA,
ROBBERY,12/08/2020 06:57:00 AM,20-060125,ROBBERY-FIREARM,23X,1200 42ND AV,Oakland,CA,
FELONY ASSAULT,01/01/2021 08:56:00 PM,21-000149,BATTERY W/SERIOUS BODILY INJURY,27Y,4800 INTERNATIONAL BLVD,Oakland,CA,
FRAUD,01/19/2021 12:30:00 PM,21-900903,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,05X,1500 CHESTNUT ST,Oakland,CA,
OTHER,02/13/2021 09:44:00 AM,21-007057,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,35X,2300 96TH AV,Oakland,CA,
VANDALISM,05/30/2020 12:39:00 AM,20-026641,VANDALISM,04X,1400 BROADWAY,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,12/31/2020 11:10:00 PM,20-063906,VEHICLE THEFT - AUTO,23X,3700 SAN LEANDRO ST,Oakland,CA,
ROBBERY,11/28/2020 11:30:00 PM,20-058470,VEHICLE THEFT - AUTO,18Y,2000 E 26TH ST,Oakland,CA,
FELONY ASSAULT,01/24/2021 05:09:00 AM,21-003655,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,1300 80TH AV,Oakland,CA,
BURG - RESIDENTIAL,08/31/2020 04:07:00 AM,20-043480,VANDALISM,14Y,700 WALKER AV,Oakland,CA,
STOLEN VEHICLE,12/26/2020 11:40:00 PM,20-063194,VEHICLE THEFT - AUTO,35Y,00 ORINDA VISTA DR,Oakland,CA,
DOMESTIC VIOLENCE,12/05/2020 07:00:00 PM,20-059800,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,77X,BUELL ST& MACARTHUR BLVD,Oakland,CA,
STOLEN VEHICLE,01/09/2021 04:30:00 PM,21-001562,VEHICLE THEFT - AUTO,16X,700 SANTA RAY AV,Oakland,CA,
RECOVERED O/S STOLEN,12/14/2020 06:11:00 PM,20-061242,VEHICLE THEFT - AUTO,31Z,800 MOORPARK AV,Oakland,CA,
GRAND THEFT,01/11/2021 01:10:00 PM,21-901017,THEFT,77X,1900 OLIVE ST,Oakland,CA,
OTHER SEX OFFENSES,01/01/2020 12:00:00 AM,21-003325,SEXUAL BATTERY,04X,600 14TH ST,Oakland,CA,
WEAPONS,01/07/2021 02:29:00 PM,21-001052,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,19X,1800 E 15TH ST,Oakland,CA,
FELONY ASSAULT,12/08/2020 11:11:00 PM,20-060259,WILLFULLY DISCHARGE FIREARM IN A GROSSLY NEG MANNER,07X,2800 LINDEN ST,Oakland,CA,
TOWED VEHICLE,10/24/2020 10:48:00 AM,20-052501,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,23X,1300 42ND AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/30/2021 11:57:00 AM,21-004697,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,31Y,8400 ENTERPRISE WY,Oakland,CA,
,02/21/2021 05:00:00 PM,21-008469,PETTY THEFT:$50-,07X,IFO 3217 ETTIE ST,Oakland,CA,
,02/21/2021 02:00:00 PM,21-008379,BURGLARY-FORCIBLE ENTRY,12Y,7300 CHABOT RD,Oakland,CA,
ROBBERY,02/07/2021 11:15:00 PM,21-006106,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,21Y,2800 BROOKDALE AV,Oakland,CA,
FELONY ASSAULT,12/13/2020 12:36:00 PM,20-061026,ASSAULT WITH FIREARM ON PERSON,30Y,7800 BANCROFT AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/06/2021 12:32:00 PM,21-000939,BATTERY,24Y,3800 DALE PL,Oakland,CA,
DOMESTIC VIOLENCE,01/03/2021 09:27:00 AM,21-000336,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,27X,4800 FOOTHILL BLVD,Oakland,CA,
PETTY THEFT,10/29/2020 01:38:00 PM,20-053398,THEFT,21Y,3200 FOOTHILL BLVD,Oakland,CA,
BURG - AUTO,12/18/2020 01:55:00 PM,20-920877,BURGLARY-AUTO,14Y,500 LAKE PARK AV,Oakland,CA,
FORGERY & COUNTERFEITING,12/23/2020 07:25:00 AM,20-921019,THEFT BY USE OF ACCESS CARD,33X,9600 B ST,Oakland,CA,
DOMESTIC VIOLENCE,01/28/2021 03:34:00 PM,21-004323,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE W/PR,23X,3600 E 12TH ST,Oakland,CA,
VANDALISM,11/30/2020 09:30:00 PM,20-920289,VANDALISM,17Y,800 E 28TH ST,Oakland,CA,
VANDALISM,01/31/2021 06:00:00 PM,21-901545,VANDALISM,31X,600 HEGENBERGER RD,Oakland,CA,
VANDALISM,12/27/2020 12:05:00 AM,20-063190,VANDALISM (AMENDED),34X,1600 88TH AV,Oakland,CA,
BURG - AUTO,12/21/2020 05:00:00 PM,20-062414,ATTEMPT VEHICLE THEFT-AUTO,02Y,700 CHESTER ST,Oakland,CA,
BURG - AUTO,01/26/2021 09:00:00 AM,21-901293,BURGLARY-AUTO,13X,5300 BROADWAY TER,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,11/29/2020 10:23:00 AM,20-058525,VEHICLE THEFT - AUTO,26X,4800 E 12TH ST,Oakland,CA,
PETTY THEFT,12/25/2020 03:00:00 PM,20-921137,THEFT,13Z,6800 WILTON DR,Oakland,CA,
PETTY THEFT,01/06/2021 05:30:00 PM,21-001127,THEFT,32Y,2700 TALBOT AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/14/2021 11:37:00 AM,21-007213,SC RAPE,20X,3000 E 9TH ST,Oakland,CA,
VANDALISM,12/19/2020 10:05:00 PM,21-900523,VANDALISM,08X,100 GRAND AV,Oakland,CA,
STOLEN VEHICLE,01/13/2021 07:00:00 PM,21-002341,VEHICLE THEFT - AUTO,21X,2000 23RD AV,Oakland,CA,
BURG - AUTO,01/27/2021 02:20:00 PM,21-004162,BURGLARY-AUTO,04X,400 19TH ST,Oakland,CA,
ROBBERY,12/14/2020 02:21:00 PM,20-061210,ROBBERY-FIREARM,14Y,800 WARFIELD AV,Oakland,CA,
THREATS,12/18/2020 08:38:00 AM,20-061817,STALKING-MISD,13Z,6000 ASPINWALL RD,Oakland,CA,
MISDEMEANOR ASSAULT,01/31/2021 03:53:00 PM,21-004903,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,25X,3500 HIGH ST,Oakland,CA,
ROBBERY,12/19/2020 01:05:00 AM,20-061908,CARJACKING WITH FIREARM,19X,1700 E 12TH ST,Oakland,CA,
DOMESTIC VIOLENCE,12/22/2020 07:00:00 AM,20-062496,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,8600 MACARTHUR BLVD,Oakland,CA,
DOMESTIC VIOLENCE,11/27/2020 03:00:00 AM,20-058208,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30Y,2600 75TH AV,Oakland,CA,
DISORDERLY CONDUCT,02/10/2021 01:30:00 PM,21-006616,DISTURB THE PEACE,10X,900 53RD ST,Oakland,CA,
BURG - RESIDENTIAL,12/05/2020 03:31:00 AM,20-920305,BURGLARY-FORCIBLE ENTRY,09X,4400 MONTGOMERY ST,Oakland,CA,
GRAND THEFT,01/05/2021 03:00:00 PM,21-000714,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,26X,400 HIGH ST,Oakland,CA,
DOMESTIC VIOLENCE,02/02/2021 11:46:00 AM,21-005185,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,32Y,9800 STEARNS AV,Oakland,CA,
DOMESTIC VIOLENCE,01/07/2021 02:45:00 AM,21-000953,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,1900 82ND AV,Oakland,CA,
OTHER,01/21/2021 01:14:00 PM,21-003235,VIOLATION CUSTODY DECREE,04X,1500 JACKSON ST,Oakland,CA,
VANDALISM,09/04/2020 09:00:00 PM,20-919927,VANDALISM,21X,2600 FOOTHILL BLVD,Oakland,CA,
VANDALISM,12/01/2020 12:00:00 AM,20-920076,VANDALISM,17Y,1200 E 28TH ST,Oakland,CA,
FELONY ASSAULT,12/19/2020 09:00:00 PM,20-062131,ASSAULT WITH FIREARM ON PERSON,06X,3000 SAN PABLO AV,Oakland,CA,
PETTY THEFT,01/08/2021 11:00:00 PM,21-001372,VEHICLE THEFT - AUTO,22X,2700 CARMEL ST,Oakland,CA,
DOMESTIC VIOLENCE,12/26/2020 02:10:00 AM,20-063023,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,31X,8400 PARDEE DR,Oakland,CA,
,02/26/2021 05:20:00 PM,21-009206,BATTERY,27X,1600 HIGH STREET,Oakland,CA,
OTHER,01/10/2021 10:39:00 AM,21-900387,MAIL/ETC THEFT/ETC,13Y,6800 THE TURN,Oakland,CA,
BURG - RESIDENTIAL,01/28/2021 11:00:00 PM,21-901524,BURGLARY-FORCIBLE ENTRY,13Z,1900 GOULDIN RD,Oakland,CA,
MISDEMEANOR ASSAULT,12/24/2020 06:43:00 PM,20-062866,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1400 JEFFERSON ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/18/2020 08:35:00 PM,20-061885,DISTURB THE PEACE,27Y,1400 50TH AV,Oakland,CA,
BURG - AUTO,09/10/2020 06:00:00 AM,20-045829,BURGLARY-AUTO,03Y,500 12TH ST,Oakland,CA,
FELONY ASSAULT,01/18/2021 10:00:00 AM,21-002789,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,29X,6800 MACARTHUR BLVD,Oakland,CA,
STOLEN VEHICLE,01/23/2021 10:00:00 PM,21-003967,VEHICLE THEFT - AUTO,14X,300 LENOX AV,Oakland,CA,
ROBBERY,01/31/2021 01:30:00 AM,21-004812,ROBBERY-FIREARM,19X,2100 INTERNATIONAL BLVD,Oakland,CA,
VANDALISM,01/23/2021 12:40:00 AM,21-003484,BATTERY,31Y,500 DOUGLAS AV,Oakland,CA,
PETTY THEFT,02/20/2021 09:30:00 PM,21-008284,THEFT,07X,3000 MANDELA PKWY,Oakland,CA,
OTHER,12/29/2020 12:44:00 PM,20-063518,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,32Y,2300 103RD AV,Oakland,CA,
ROBBERY,01/25/2021 12:00:00 PM,21-003843,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,08X,2300 TELEGRAPH AV,Oakland,CA,
STOLEN VEHICLE,12/25/2020 08:00:00 PM,20-063044,VEHICLE THEFT - AUTO,17X,1200 FOOTHILL BLVD,Oakland,CA,
FORGERY & COUNTERFEITING,12/08/2020 11:30:00 AM,21-900123,MAKE/PASS FICTITIOUS CHECK,04X,1700 SAN PABLO AV,Oakland,CA,
DOMESTIC VIOLENCE,12/31/2020 02:40:00 PM,20-063852,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,5400 BANCROFT AV,Oakland,CA,
,02/22/2021 03:00:00 AM,21-008436,EXHIBIT FIREARM,23X,42ND AVENUE AND INTERNATIONAL BLVD,Oakland,CA,
ROBBERY,01/19/2021 09:00:00 PM,21-002973,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,31Z,300 105TH AV,Oakland,CA,
STOLEN VEHICLE,12/19/2020 04:00:00 PM,20-062216,VEHICLE THEFT - AUTO,32Y,WARNER AV & OLIVE ST,Oakland,CA,
DOMESTIC VIOLENCE,02/13/2021 05:14:00 PM,21-007108,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1100 SEMINARY AV,Oakland,CA,
DOMESTIC VIOLENCE,12/26/2020 08:49:00 PM,20-063142,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,2000 CHURCH ST,Oakland,CA,
STOLEN VEHICLE,02/16/2021 10:00:00 PM,21-007696,VEHICLE THEFT - AUTO,04X,19TH ST & BROADWAY,Oakland,CA,
ROBBERY,12/03/2020 06:17:00 PM,20-059290,ROBBERY-FIREARM,24Y,2300 BARTLETT ST,Oakland,CA,
FELONY ASSAULT,12/12/2020 04:43:00 PM,20-060908,ASSAULT WITH FIREARM ON PERSON,30X,1400 80TH AV,Oakland,CA,
GRAND THEFT,12/14/2020 04:15:00 PM,21-901152,GRAND THEFT,26Y,1300 66TH AV,Oakland,CA,
ROBBERY,12/27/2020 09:27:00 PM,20-063289,ROBBERY-FIREARM,22X,3400 FRUITVALE AV,Oakland,CA,
STOLEN VEHICLE,12/28/2020 08:45:00 PM,20-063448,VEHICLE THEFT - AUTO,08X,29TH ST & BROADWAY,Oakland,CA,
VANDALISM,11/22/2020 02:00:00 PM,20-919766,VANDALISM,14Y,600 MARIPOSA AV,Oakland,CA,
ROBBERY,01/03/2021 03:10:00 PM,21-000375,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",04X,600 WILLIAM ST,Oakland,CA,
STOLEN VEHICLE,01/31/2021 12:01:00 AM,21-004860,VEHICLE THEFT - AUTO,17X,600 E 17TH ST,Oakland,CA,
VANDALISM,02/20/2021 02:28:00 PM,21-008199,FIGHT/CHALLENGE FIGHT PUBLIC PLACE,14X,2600 HARRISON ST,Oakland,CA,
WEAPONS,12/22/2020 03:40:00 PM,20-062564,DISCHARGE FIREARM FROM VEHICLE AT PERSON,35X,8400 DOWLING ST,Oakland,CA,
BURG - AUTO,02/06/2021 06:00:00 PM,21-901816,BURGLARY-AUTO,14Y,500 LAKE PARK AV,Oakland,CA,
STOLEN VEHICLE,02/01/2021 10:30:00 AM,21-005604,VEHICLE THEFT - AUTO,18Y,1500 E 31ST ST,Oakland,CA,
STOLEN VEHICLE,01/02/2021 08:44:00 PM,21-000280,POSS STOLEN VEH/VES/ETC,09X,00 RAMONA AV,Oakland,CA,
,02/26/2021 03:45:00 PM,21-009192,BATTERY,02X,900 MARKET ST SITE 300,Oakland,CA,
STOLEN VEHICLE,01/14/2021 12:30:00 PM,21-002226,VEHICLE THEFT - AUTO,12X,4100 BROADWAY,Oakland,CA,
ROBBERY,01/13/2021 01:00:00 PM,21-002855,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,1400 36TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/14/2021 03:11:00 AM,21-002148,EXHIBIT FIREARM,32X,10500 GRAFFIAN ST,Oakland,CA,
FELONY ASSAULT,01/21/2021 10:39:00 PM,21-003300,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,900 72ND AV,Oakland,CA,
HOMICIDE,12/11/2020 01:05:00 PM,20-060725,SC UNEXPLAINED DEATH,19X,500 E 8TH ST,Oakland,CA,
PETTY THEFT,02/07/2021 09:05:00 PM,21-901835,THEFT,16Y,1200 EL CENTRO AV,Oakland,CA,
STOLEN VEHICLE,01/26/2021 05:00:00 PM,21-004441,VEHICLE THEFT - AUTO,14X,300 GRAND AV,Oakland,CA,
,02/25/2021 08:40:00 PM,21-902631,BURGLARY-AUTO,04X,400 15TH ST,Oakland,CA,
ROBBERY,12/05/2020 03:30:00 PM,20-059731,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",10Y,4500 MARKET ST,Oakland,CA,
,02/07/2021 08:00:00 PM,21-902584,VANDALISM,27Y,2500 60TH AVE,Oakland,CA,
BURG - RESIDENTIAL,01/31/2021 01:00:00 PM,21-005017,BURGLARY-NO FORCE,35Y,00 OAK HILL CIR,Oakland,CA,
HOMICIDE,12/22/2020 03:03:00 PM,20-062558,SC UNEXPLAINED DEATH,08X,500 23RD ST,Oakland,CA,
STOLEN VEHICLE,12/20/2020 10:00:00 PM,20-062387,VEHICLE THEFT - AUTO,20X,1500 FRUITVALE AV,Oakland,CA,
STOLEN VEHICLE,10/07/2020 02:30:00 PM,20-050776,VEHICLE THEFT - AUTO,25X,3700 GREEN ACRE RD,Oakland,CA,
WEAPONS,12/09/2020 04:22:00 PM,20-060363,CARRY LOADED FIREARM W/PRIOR FELONY CONVICTION,24X,3800 NEVIL ST,Oakland,CA,
PETTY THEFT,12/30/2020 07:25:00 PM,20-063749,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,21Y,3200 FOOTHILL BLVD,Oakland,CA,
VANDALISM,02/08/2021 01:37:00 AM,21-901922,VANDALISM,30X,8100 BANCROFT AV,Oakland,CA,
STOLEN VEHICLE,01/16/2021 11:11:00 AM,21-002498,VEHICLE THEFT - AUTO,26X,500 INDEPENDENT RD,Oakland,CA,
VANDALISM,01/21/2021 11:00:00 AM,21-901262,VANDALISM,24X,FOOTHILL BLVD & 38TH AV,Oakland,CA,
DISORDERLY CONDUCT,12/19/2020 11:57:00 PM,20-062173,DISTURB THE PEACE,25X,3700 BUELL ST,Oakland,CA,
GRAND THEFT,01/02/2021 07:07:00 PM,21-900453,GRAND THEFT,29X,5500 BROOKDALE AV,Oakland,CA,
PETTY THEFT,11/26/2020 08:00:00 AM,20-059093,THEFT,18X,1600 20TH AV,Oakland,CA,
THREATS,01/02/2021 02:23:00 AM,21-000173,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,77X,3300 BLK CHAMPION ST,Oakland,CA,
STOLEN VEHICLE,02/10/2021 07:00:00 PM,21-006732,VEHICLE THEFT - AUTO,09X,00 SANTA CLARA AV,Oakland,CA,
GRAND THEFT,02/12/2021 12:00:00 PM,21-902042,GRAND THEFT,25X,3500 35TH AV,Oakland,CA,
DOMESTIC VIOLENCE,02/18/2021 09:45:00 AM,21-007845,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE W/PR,19X,1500 E 12TH ST,Oakland,CA,
PETTY THEFT,12/22/2020 12:44:00 PM,20-062542,THEFT,12X,300 49TH ST,Oakland,CA,
ROBBERY,12/01/2020 04:30:00 AM,20-058816,ROBBERY-KNIFE OR CUTTING INSTRUMENT,34X,92ND AV & OLIVE ST,Oakland,CA,
STOLEN VEHICLE,12/23/2020 06:00:00 PM,20-062803,VEHICLE THEFT - AUTO,30Y,2800 68TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/17/2021 09:00:00 AM,21-007704,BATTERY,14X,500 GRAND AV,Oakland,CA,
PETTY THEFT,02/08/2021 12:00:00 PM,21-006223,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA,
ROBBERY,12/30/2020 10:05:00 PM,20-063763,ROBBERY-FIREARM,35X,9200 HILLSIDE ST,Oakland,CA,
DOMESTIC VIOLENCE,12/19/2020 09:30:00 AM,20-062031,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,17X,1100 E 17TH ST,Oakland,CA,
THREATS,01/18/2021 09:39:00 PM,21-002864,THREAT CRIME:INT:TERRORIZE,30X,7100 FRESNO ST,Oakland,CA,
FELONY ASSAULT,12/31/2020 11:30:00 PM,20-063912,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,25Y,13200 SKYLINE BLVD,Oakland,CA,
GRAND THEFT,01/18/2021 11:39:00 AM,21-002781,GRAND THEFT,26X,400 HIGH ST,Oakland,CA,
STOLEN VEHICLE,01/23/2021 05:30:00 PM,21-003619,VEHICLE THEFT - AUTO,22X,3700 FRUITVALE AV,Oakland,CA,
ROBBERY,01/14/2021 07:58:00 PM,21-002277,EXHIBIT FIREARM,18Y,2000 E 27TH ST,Oakland,CA,
NARCOTICS,02/21/2021 12:17:00 AM,21-008264,POSSESS/BUY/ETC FIREARM W/O IDENTIFICATION MARK,21X,E 20TH ST & 23RD AV,Oakland,CA,
