"ROBBERY","2019-10-26 22:05:00","19-055996","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","31X","7000 COLISEUM WY","Oakland","CA"
"STOLEN VEHICLE","2019-10-24 23:00:00","19-056336","SC STOLEN VEHICLE - AUTO","18Y","2000 E 23RD ST","Oakland","CA"
"BURG - AUTO","2019-10-29 21:06:00","19-056498","BURGLARY-AUTO","12Y","5300 COLLEGE AV","Oakland","CA"
"BURG - AUTO","2019-10-29 22:50:00","19-056535","BURGLARY-AUTO","11X","5200 DOVER ST","Oakland","CA"
"BURG - RESIDENTIAL","2019-11-01 14:00:00","19-057039","BURGLARY-FORCIBLE ENTRY","18Y","1600 E 32ND ST","Oakland","CA"
"KIDNAPPING","2019-11-01 14:15:00","19-057050","KIDNAPPING","18Y","1600 E 32ND ST","Oakland","CA"
"KIDNAPPING","2019-11-01 14:15:00","19-057050","ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET)","18Y","1600 E 32ND ST","Oakland","CA"
"BURG - RESIDENTIAL","2019-11-01 15:00:00","19-057079","BURGLARY-FORCIBLE ENTRY","18Y","2000 E 22ND ST","Oakland","CA"
"STOLEN VEHICLE","2019-11-01 21:00:00","19-057083","VEHICLE THEFT - AUTO","30Y","3800 COLUMBIAN DR","Oakland","CA"
"FORGERY & COUNTERFEITING","2018-11-15 00:00:00","19-057090","CHECK FORGERY","17Y","1100 E 22ND ST","Oakland","CA"
"","2019-11-02 05:42:00","19-057136","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","06X","3000 MARTIN LUTHER KING JR W","Oakland","CA"
"","2019-11-02 05:42:00","19-057136","VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE","06X","3000 MARTIN LUTHER KING JR W","Oakland","CA"
"DOMESTIC VIOLENCE","2019-11-02 18:58:00","19-057251","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","26Y","66TH AV & LUCILLE ST","Oakland","CA"
"FELONY ASSAULT","2019-11-03 00:41:00","19-057303","SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC","19X","1900 E 15TH ST","Oakland","CA"
"DOMESTIC VIOLENCE","2019-11-03 12:20:00","19-057329","STALKING-MISD","08X","500 40TH ST","Oakland","CA"
"FELONY ASSAULT","2019-11-03 20:58:00","19-057433","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","27Y","1400 50TH AV","Oakland","CA"
"FELONY ASSAULT","2019-11-03 04:00:00","19-057590","SHOOT AT INHABITED DWELLING/VEHICLE/ETC","33X","1300 81ST AV","Oakland","CA"
"BURG - AUTO","2019-11-05 19:13:00","19-057813","BURGLARY-FORCIBLE ENTRY","16X","3200 LAKESHORE AV","Oakland","CA"
"ROBBERY","2019-10-29 20:00:00","19-057843","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","21Y","3200 FOOTHILL BLVD","Oakland","CA"
"OTHER","2019-11-03 08:00:00","19-058087","CONTEMPT OF COURT:DISOBEY COURT ORDER/PROCESS (AMENDED)","27X","4600 FAIRFAX AV","Oakland","CA"
"","2019-11-07 15:15:00","19-058225","EXHIBIT DEADLY WEAPON:SERIOUS BODILY INJURY INTENT","13Z","6800 ARMOUR DR.","Oakland","CA"
"","2019-11-07 15:15:00","19-058225","VEHICLE THEFT - AUTO","13Z","6800 ARMOUR DR.","Oakland","CA"
"STOLEN VEHICLE","2019-11-07 16:25:00","19-058234","VEHICLE THEFT - AUTO","08X","600 34TH ST","Oakland","CA"
"BURG - AUTO","2019-11-08 10:48:00","19-058358","BURGLARY-AUTO","05X","1900 UNION ST","Oakland","CA"
"STOLEN VEHICLE","2019-11-08 18:00:00","19-058474","VEHICLE THEFT - AUTO","08X","400 38TH ST","Oakland","CA"
